Institute,Academic Program Name,Quota,Seat Type,Gender,Year,Opening Rank,Closing Rank,Round,isPwd
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,2019,15696.0,22271.0,7,No
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,2020,21970.0,24272.0,6,No
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,2021,17916.0,18738.0,6,No
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,2022,13859.0,15773.0,6,No
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,2023,16693.0,19603.0,6,No
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,2024,18955.0,20222.0,5,No
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),2018,66995.0,66995.0,7,No
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),2019,78076.0,99081.0,7,No
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),2020,102182.0,108523.0,6,No
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),2021,59496.0,62685.0,6,No
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),2022,49835.0,49835.0,6,No
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),2023,59939.0,59939.0,6,No
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),2024,68589.0,68589.0,5,No
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,2018,77203.0,99531.0,7,No
